Name;Site;Location;Status;Facility ID;Tenant;Role;Height;Devices;Space;ID;Tenant Group;Serial number;Asset tag;Type;Starting unit;Width;Outer Width;Outer Depth;Mounting depth;Weight;Max Weight;Comments;Power;Description;Contacts;Tags;Created;Last updated
MER2B-B10;VUmc;MER2B;Active;;;Storage;42U;0;0.0%;71;;;;;1;19 inches;None;None;1000;;;;0%;PACS;;;13-10-2023 12:54;13-10-2023 12:54
MER2B-C11;VUmc;MER2B;Active;;;Oneview Nutanix;42U;0;0.0%;72;;;;;1;19 inches;None;None;1000;;;;0%;;;;13-10-2023 12:55;13-10-2023 12:55
MER2B-C12;VUmc;MER2B;Active;;;Storage;42U;0;0.0%;73;;;;;1;19 inches;None;None;1200;;;;0%;;;;13-10-2023 12:56;13-10-2023 12:56
MER2B-C13;VUmc;MER2B;Active;;;Storage;42U;0;0.0%;74;;;;;1;19 inches;None;None;1200;;;;0%;;;;13-10-2023 12:57;13-10-2023 12:57
MER2B-C14;VUmc;MER2B;Active;;;Storage;42U;0;0.0%;75;;;;;1;19 inches;None;None;1000;;;;0%;;;;13-10-2023 12:58;13-10-2023 12:59
MER2B-C15;VUmc;MER2B;Available;;;None;42U;0;0.0%;76;;;;;1;19 inches;None;None;1000;;;;0%;;;;13-10-2023 13:00;16-10-2023 09:06
MER2B-C16;VUmc;MER2B;Active;;;Network Infrastructure;42U;0;0.0%;77;;;;;1;19 inches;None;None;1000;;;;0%;;;;13-10-2023 13:00;13-10-2023 13:00
MER2C-A01;VUmc;MER2C;Active;;;Oneview Nutanix;42U;0;0.0%;46;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 11:15;13-10-2023 12:08
MER2C-A02;VUmc;MER2C;Available;;;None;42U;0;0.0%;47;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 11:18;13-10-2023 12:09
MER2C-A03;VUmc;MER2C;Active;;;Storage;42U;0;0.0%;48;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 12:06;13-10-2023 12:10
MER2C-A04;VUmc;MER2C;Active;;;Storage;42U;0;0.0%;49;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 12:06;13-10-2023 12:07
MER2C-A05;VUmc;MER2C;Active;;;Network Infrastructure;42U;0;0.0%;50;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 12:07;13-10-2023 12:07
MER2C-A06;VUmc;MER2C;Active;;;Oneview Nutanix;42U;0;0.0%;51;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 12:12;13-10-2023 12:12
MER2C-A07;VUmc;MER2C;Active;;;Virtualization;42U;0;0.0%;52;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 12:13;13-10-2023 12:13
MER2C-A08;VUmc;MER2C;Available;;;None;42U;0;0.0%;53;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 12:13;13-10-2023 12:13
MER2C-B09;VUmc;MER2C;Active;;;Server Infrastructure;42U;0;0.0%;54;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;Aria / Ethos RTH;;;13-10-2023 12:14;13-10-2023 12:16
MER2C-B10;VUmc;MER2C;Available;;;None;42U;0;0.0%;55;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 12:15;13-10-2023 12:15
MER2C-B11;VUmc;MER2C;Active;;;Virtualization;42U;0;0.0%;56;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 12:17;13-10-2023 12:31
MER2C-B12;VUmc;MER2C;Active;;;Network Infrastructure;42U;0;0.0%;57;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 12:29;13-10-2023 12:32
MER2C-B13;VUmc;MER2C;Active;;;Oneview Nutanix;42U;0;0.0%;58;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 12:30;13-10-2023 12:32
MER2C-B14;VUmc;MER2C;Available;;;None;42U;0;0.0%;59;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 12:31;13-10-2023 12:31
MER2C-B15;VUmc;MER2C;Active;;;Server Infrastructure;42U;0;0.0%;60;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;PACS;;;13-10-2023 12:41;13-10-2023 12:41
MER2C-B16;VUmc;MER2C;Active;;;Oneview Nutanix;42U;0;0.0%;61;;;;4-post cabinet;1;19 inches;None;None;;;;;0%;;;;13-10-2023 12:42;13-10-2023 12:42
MER3-A01;VUmc;MER3;Active;;;Server Infrastructure;42U;0;0.0%;78;;;;;1;19 inches;None;None;;;;;0%;;;;16-10-2023 09:07;16-10-2023 09:07
MER3-A02;VUmc;MER3;Available;;;Server Infrastructure;42U;0;0.0%;79;;;;;1;19 inches;None;None;;;;;0%;;;;16-10-2023 09:08;16-10-2023 09:25
MER3-A03;VUmc;MER3;Available;;;None;42U;0;0.0%;80;;;;;1;19 inches;None;None;;;;;0%;;;;16-10-2023 09:08;16-10-2023 09:24
MER3-A04;VUmc;MER3;Available;;;None;42U;0;0.0%;81;;;;;1;19 inches;None;None;;;;;0%;;;;16-10-2023 09:09;16-10-2023 09:23
